location,room,area,floor,price
Nəriman Nərimanov m.,2 otaqlı,55.0,7,189000
Nəriman Nərimanov m.,3 otaqlı,70.0,4,170000
Nəriman Nərimanov m.,2 otaqlı,67.0,5,235000
Nəriman Nərimanov m.,3 otaqlı,75.0,4,170000
Nəriman Nərimanov m.,3 otaqlı,140.0,6,480000
Nəriman Nərimanov m.,3 otaqlı,155.0,3,255000
Nəriman Nərimanov m.,3 otaqlı,135.0,2,285000
Nəriman Nərimanov m.,3 otaqlı,130.0,6,318000
Nəriman Nərimanov m.,3 otaqlı,155.5,5,380000
Nəriman Nərimanov m.,3 otaqlı,129.0,8,235000
Nəriman Nərimanov m.,3 otaqlı,94.0,16,360000
Nəriman Nərimanov m.,2 otaqlı,87.0,12,185000
Nəriman Nərimanov m.,3 otaqlı,87.0,11,244000
Nəriman Nərimanov m.,2 otaqlı,80.0,15,310000
Nəriman Nərimanov m.,3 otaqlı,90.0,2,190000
Nəriman Nərimanov m.,3 otaqlı,100.0,12,290000
Nəriman Nərimanov m.,2 otaqlı,70.0,5,215000
Gənclik m.,3 otaqlı,140.0,6,480000
Nəriman Nərimanov m.,2 otaqlı,90.0,13,355000
Nəriman Nərimanov m.,3 otaqlı,116.3,15,335000
Nəriman Nərimanov m.,4 otaqlı,100.0,3,235000
Nəriman Nərimanov m.,3 otaqlı,83.0,8,259500
Nəriman Nərimanov m.,2 otaqlı,40.0,5,129000
Nəriman Nərimanov m.,3 otaqlı,110.0,7,320000
Nəriman Nərimanov m.,3 otaqlı,70.0,4,170000
Nəriman Nərimanov m.,3 otaqlı,138.0,15,258000
Nəriman Nərimanov m.,5 otaqlı,120.0,4,340000
Nəriman Nərimanov m.,4 otaqlı,180.0,16,650000
Nəriman Nərimanov m.,2 otaqlı,35.0,1,140000
Nəriman Nərimanov m.,3 otaqlı,152.0,7,335000
Nəriman Nərimanov m.,3 otaqlı,138.0,15,258000
Nəriman Nərimanov m.,3 otaqlı,137.0,8,390450
Nəriman Nərimanov m.,3 otaqlı,132.0,7,365000
Nəriman Nərimanov m.,2 otaqlı,57.0,5,167450
Gənclik m.,3 otaqlı,143.9,15,707000
Gənclik m.,2 otaqlı,78.2,12,365976
Gənclik m.,2 otaqlı,60.0,8,205000
Gənclik m.,3 otaqlı,90.0,7,195000
Gənclik m.,2 otaqlı,60.0,5,116000
Gənclik m.,2 otaqlı,65.0,8,165000
Gənclik m.,5 otaqlı,170.0,6,430000
Gənclik m.,3 otaqlı,90.0,7,295000
Gənclik m.,4 otaqlı,167.0,6,355000
Gənclik m.,1 otaqlı,73.0,10,199900
Gənclik m.,1 otaqlı,31.0,3,125000
Gənclik m.,2 otaqlı,52.0,4,135000
Gənclik m.,3 otaqlı,111.0,7,320000
Nəriman Nərimanov m.,2 otaqlı,70.0,10,165000
Nəriman Nərimanov m.,2 otaqlı,42.2,5,135000
Gənclik m.,2 otaqlı,65.5,1,160000
Gənclik m.,3 otaqlı,80.0,5,200000
Nəriman Nərimanov m.,3 otaqlı,139.5,7,465000
Gənclik m.,4 otaqlı,147.0,7,360000
